Ba(IO)2,barium hypoiodite
Ba(IO2)2,barium iodite
Ba(IO3)2,barium iodate
Ba(IO4)2,barium periodate
BaK2(CrO4)2,barium potassium chromate
BaMnO4,barium manganate
Ba(MnO4)2,barium permanganate
BaMoO4,barium molybdate
BaN6,barium azide
Ba(NO2)2,barium nitrite
Ba(NO3)2,barium nitrate
Ba(NbO3)2,barium niobate
BaNb2O6,barium metaniobate
BaO,barium oxide
Ba(OH)2,barium hydroxide baryta
BaO2,barium peroxide
Ba(PO3)2,barium metaphosphate
BaS,barium sulfide
Ba(SCN)2,barium thiocyanate
BaS2O3,barium thiosulfate
BaSiF6,barium hexafluorosilicate
BaSO3,barium sulfite
BaSO4,barium sulfate barite
BaSe,barium selenide
Ba(SeCN)2,barium selenocyanate
BaSeO3,barium selenite
BaSeO4,barium selenate
BaSiO3,barium metasilicate
BaSi2,barium silicide
BaSi2O5,barium disilicate
BaSnO3,barium stannate
BaTeO3,barium tellurite
BaTeO4·3H2O,barium tellurate trihydrate
BaTiO3,barium titanate barium metatitanate
BaU2O7,barium uranium oxide
BaWO4,barium tungstate
BaZrO3,barium zirconate
Ba2Na(NbO3)5,barium sodium niobate
Ba2P2O7,barium pyrophosphate
Ba2V2O7,barium pyrovanadate
Ba2XeO6,barium perxenate
Ba3(CrO4)2,barium chromate(V)
Ba3N2,barium nitride
Ba3(PO4)2,barium orthophosphate
Ba3(VO4)2,barium orthovandate
BeB2,beryllium boride
Be(BH4)2,beryllium borohydride
BeBr2,beryllium bromide
Be(CHO2)2,beryllium formate
BeCO3,beryllium carbonate
Be(C2H3O2)2,beryllium acetate
Be(C5H7O2)2,beryllium acetylacetonate
BeCl2,beryllium chloride
Be(ClO)2,beryllium hypochlorite
Be(ClO3)2,beryllium chlorate
Be(ClO4)2,beryllium perchlorate
BeF2,beryllium fluoride
BeI2,beryllium iodide
Be(NO2)2,beryllium nitrite
Be(NO3)2,beryllium nitrate
BeO,beryllium oxide bromellite
Be(OH)2,beryllium hydroxide
BeS,beryllium sulfide
BeSO3,beryllium sulfite
BeSO4,beryllium sulfate
Be2C,beryllium carbide
Be3Al2(SiO3)6,beryl
Be3N2,beryllium nitride
BiBO3,bismuth(III) orthoborate
BiBr3,bismuth(III) bromide
Bi(C2H3O2)3,bismuth(III) acetate
BiC6H5O7,bismuth(III) citrate
BiCl3,bismuth(III) chloride
BiF3,bismuth(III) fluoride
BiI3,bismuth(III) iodide
Bi(NO3)3·5H2O,bismuth(III) nitrate pentahydrate
BiOCl,bismuth(III) oxychloride
BiOI,bismuth(III) oxyiodide
(BiO)2CO3,bismuth oxycarbonate
BiPO4,bismuth(III) orthophosphate
Bi(VO3)5,bismuth(III) metavanadate
Bi2Se3,bismuth(III) selenide bismuth selenide
Bi2(MoO4)3,bismuth(III) molybdate
Bi2O3,bismuth(III) oxide
Bi2S3,bismuth(III) sulfide bismuthinite
Bi2Se3,bismuth(III) selenide
BrCl,bromine chloride
BrCl3,bromine trichloride
BrCl5,bromine pentachloride
BrF,bromine monofluoride bromine fluoride
BrF3,bromine trifluoride
BrF5,bromine pentafluoride
BrI,iodine monobromide
BrO3−,bromate ion
Br2,bromine
Br2O5,dibromine pentoxide
Br3-,Tribromide
CAgO,carbonylsilver
CCl2F2,dichlorodifluoromethane freon-12
CCl4,carbon tetrachloride tetrachloromethane
C(CN)4,tetracyanomethane
CFCl3,freon-11
CFCl2CF2Cl,freon-13
CHCl3,chloroform trichloromethane methyl trichloride
CHClF2,chlorodifluoromethane
CH(CN)3,cyanoform
CHNO,isocyanic acid
CHN3O6,trinitromethane
CHO2−,formate ion
CH2,methylene
CH2Ag,carbene silver
CH2CHCHCH2,"1,3-butadiene"
CH2CO,ketene
CH2CHOH,ethenol
CH2ClCOOH,chloroacetic acid
CH2Cl2,dichloromethane
CH2ClF,chlorofluoromethane
CH2(CN)2,malononitrile
CH2O,formaldehyde
CH2(OH)2,methanediol
CH2OHCH2OH,ethylene glycol
CH3CCH,propyne
CH3CdCH3,dimethylcadmium
CH3CHCHCH3,2-butene
CH3CHCH2,propene
CH3CHO,acetaldehyde
CH3CH2Br,bromoethane
CH3CH2CH2CH2OH,butan-1-ol
CH3CH2CH2OH,1-propanol propan-1-ol
CH3CH2CONH2,propanamide
CH3CH2COOH,propionic acid
CH3CH2OCH2CH3,diethyl ether ethoxyethane
CH3CH2OH,ethanol
CH3(CH2)16COOH,stearic acid
CH3CN,acetonitrile
CH3COCH3,acetone
CH3COOCH3,methyl acetate
CH3COCl,acetyl chloride
CH3CONH2,acetamide ethanamide
CH3COO−,acetate ion
CH3COOCHCH2,vinyl acetate
CH3COOCH2C6H5,benzyl acetate
CH3COO(CH2)2CH(CH3)2,isoamyl acetate
CH3COOH,acetic acid ethanoic acid
